Gene,logFC,logCPM,F,PValue,FDR
ZNF280D,-0.1099122687991337,6.402104928181022,0.46730772863543324,0.49856351126999576,0.781655407813826
MPPE1,-0.11001036472310838,4.794182813152988,0.6023672124218158,0.44269763397471396,0.7477783829668387
IL7R,-0.11002609973462196,4.712432696620268,0.03211532802178887,0.8587700681769228,0.9515073282054187
ARL15,-0.11010278764649489,3.7465714654396662,0.10636909894078769,0.7461868471175707,0.9050782383093583
TPGS2,-0.11018268713564952,4.106781505943687,0.18771645717056343,0.6673845521245644,0.8708116724600418
SRP68,-0.1102265991593056,5.598868030757464,0.2765405230823252,0.602171786797546,0.8405674958685705
PHIP,-0.11025836314163934,6.92334931520134,0.622436640913389,0.4352595555545973,0.74269730381225
IMMP1L,-0.11033637161237597,1.7152285876486957,0.21806765727506217,0.6433035907820273,0.8605143275703965
FBXO4,-0.11034178566228618,2.8045741482782915,0.3533739050871346,0.55589201846246,0.8153050033722254
TRIM34,-0.11046260184094918,2.5728760038375422,0.18446643080115555,0.6700980940538303,0.8720830706432855
RMI2,-0.11046877334682495,0.885451010788415,0.045020854643254664,0.833151130874753,0.940545826634382
CDON,-0.11058319450778813,4.162950132426215,0.156907168711277,0.6943360383717676,0.882491114708258
SYCP2L,-0.11059375167430359,0.3920160220670073,0.046003757563557686,0.8313678180015054,0.9401785537432901
PARD3B,-0.11060745559310074,5.654372598659019,0.3206769753148964,0.5746812953046889,0.8256840212843731
TBCEL,-0.11062484387354586,5.169194147675086,0.448926559504078,0.5070800149456776,0.7864477294984177
DIS3L,-0.11067138347643656,5.068175421846524,0.48209070027821493,0.49189138585240544,0.7777591936578485
USP53,-0.11067141163621617,5.858325396705044,0.5091113616674856,0.4800806119708806,0.768338885018377
ACKR3,-0.11067348418688397,3.232881203587048,0.04327950087283119,0.8363612481960857,0.9419596689868295
HNRNPAB,-0.11078074843696194,5.38438883191434,0.19990573534400446,0.6574500782221244,0.867792076879846
DUXAP9,-0.11078725974954597,3.5583624150827244,0.02635166033890974,0.8719435944332459,0.9560574071121555
VIPR1,-0.11081275050842225,4.080936918659888,0.02997160986871122,0.8635152016346943,0.9530698092345167
DOCK10,-0.11081910504434958,5.2049186058266885,0.07454739950307523,0.7863727234721772,0.9228963469794041
ALDH1B1,-0.11086434321936266,6.421265855827875,0.08094054286685728,0.7776415342604419,0.9190713675644444
TRUB1,-0.110934674052723,3.651225236846363,0.214584544392202,0.6459595197492787,0.8617140682175833
CCDC141,-0.11093620634641814,3.9310281258303346,0.03439636065559939,0.8538973712799114,0.9492281747088059
NR2C2,-0.11100902602481817,5.885539534373376,1.3569176225070787,0.251661054086784,0.6080195324990673
PHLDB2,-0.11101083452141643,7.315864800471846,0.16980255879436723,0.6827076315220648,0.87780777425135
PIK3CG,-0.11104108161653245,3.241094506178605,0.09719271563465222,0.7570062261103269,0.910181661628684
NINJ1,-0.11117106327426753,4.4293297006146455,0.19016743217679283,0.6653566233691635,0.8705925757172592
BHMT2,-0.1112528229276726,8.660161547681726,0.12815954466046234,0.7224187481413075,0.8964569787069003
COG2,-0.1113130076437718,5.240317303694347,0.2433998521248067,0.6247292166157947,0.8517581651763216
DDR2,-0.11137696209073257,4.972208904529178,0.15790226420624975,0.6934193216358987,0.8824300756989457
JARID2,-0.11140373533126119,5.15643040946185,0.3486102707969967,0.5585544471037273,0.8168889696065933
VIM,-0.1115265084565203,6.684947864904645,0.12718035438057274,0.7234357244654585,0.8968431318907999
TUSC2,-0.1115721191205086,2.913096886842842,0.14103755050796354,0.7094346473261568,0.8909191834560427
TTC17,-0.1116054185529915,7.126639331961864,0.6054338329212373,0.44154825043943735,0.7471291337967729
TMEM117,-0.11164978936317786,2.7647537562109332,0.25979741632978265,0.6133405307482325,0.8468549170369485
NR2F2,-0.11168117144620963,4.835714852872879,0.22676464845557132,0.6367834234753611,0.8572264177646068
IFNGR1,-0.1118005740859806,4.842124781550053,0.13471101504916147,0.7157249925701542,0.8938581048058046
HNRNPA2B1,-0.11182154252737131,9.034651567635219,0.5054445866607644,0.4816552596252851,0.7699002473778884
ULK4,-0.1118453503995071,4.676104256233385,0.22677789209671198,0.6367736128603291,0.8572264177646068
SBF2,-0.11187458510858996,6.954914609137737,0.47917162931427443,0.49319673373932726,0.7788086076512711
SLC25A46,-0.11195558130992109,5.363039336358774,0.20518444314495507,0.6532608512721869,0.866068700013263
ZMYM3,-0.11198575235920544,5.227966891920624,0.48596396946355336,0.4901683948695196,0.776475998738933
MIER1,-0.11198709564111888,5.621396678010851,0.4962016115975907,0.48566316857416103,0.7729713731261746
ERGIC2,-0.11218148341569213,5.002996621352415,0.2561505053284418,0.6158334456382011,0.8477690171580763
ZNF233,-0.11220910609491878,0.7356175879670758,0.03089929708443622,0.8614409576965116,0.952458601425229
N6AMT1,-0.11237153773329699,3.6125334102239703,0.30484232459190197,0.5842418892893139,0.8305586720456262
TXNL4B,-0.11239187403631977,3.409127353702106,0.5606303393346052,0.45882474532880935,0.7567218418616815
PIGF,-0.11239900662550958,2.6615381846656523,0.22900398101010516,0.6351295626459447,0.8563291372231633
CYCSP34,-0.11242038112427816,-0.8808367843284998,0.07835215911974365,0.7811299860459612,0.9209258078660782
BTN2A1,-0.11242763512450364,4.73897315613723,0.4401205814822021,0.5112504323805864,0.7898013553254378
USP15,-0.11252500145733882,6.6991101328189835,0.3928622850348727,0.5347161404160083,0.8024871375971692
DNAJB6,-0.11262497930863262,5.909866768199343,0.6803334339095529,0.41485259407448905,0.7299645201829527
FAM69A,-0.11269037848879665,3.9104237010233613,0.0926114989330281,0.7626186803590048,0.9127443834843068
CANT1,-0.11276024319326039,4.2035354767206465,0.22532645199068257,0.6378509155217129,0.8578944205750835
NUBP1,-0.11277244589136885,3.302458851599984,0.23490261711160768,0.6308203736939404,0.8544191401202196
SETD6,-0.11284960022804016,4.057026243341639,0.4713280997668068,0.49673367379635347,0.7809371654442918
KLHL15,-0.11285364189782247,5.031210164578691,0.23859043111090084,0.6281602468390572,0.8530696426315573
HS1BP3,-0.11292753507139373,4.746394505638553,0.24508338682523143,0.6235381859849404,0.8510219612104961
NACA,-0.11299688285394278,6.928268499390799,0.1909026658542328,0.6647513382901709,0.8704049409573948
FBXL4,-0.11301738670836523,5.579279847571135,0.39303355977906057,0.5346275790249364,0.8024871375971692
TTBK2,-0.11301759640598655,5.2114222991372205,1.2665785646826906,0.2677864500980234,0.6201548253426676
LILRB5,-0.11312828665028879,5.3979735204714405,0.063917624525862,0.80183224545185094,0.9299196450168191
MTG2,-0.11317474294558226,4.79397345525182,0.5095216112498763,0.4799049705899159,0.7682352893502735
NT5DC2,-0.11321258449929611,2.4568302220527243,0.08807539499389318,0.768327703123693,0.9156634792796079
EDEM1,-0.11326666716708818,7.053325831577079,0.2561262152489781,0.6158501244564996,0.8477690171580763
GSTT1,-0.11344484462867,4.656891442710584,0.06282430325755169,0.8034979691906216,0.9304760693233689
OSCAR,-0.11359336650324729,0.01946402649142188,0.048614782680165766,0.8267252847086829,0.9391220203240828
ARPP19,-0.11363474615927574,6.606050164474839,0.17932781854378835,0.6744470449619373,0.8742003546849616
SPG11,-0.11365105037086908,7.312972385093833,0.9087645346384171,0.3467396582840764,0.6830184134503527
TIMM17A,-0.11365984906599175,5.453268948762423,0.2080124831920547,0.6510432568802842,0.865007486862758
MORF4L2,-0.1136744604914533,7.020515725531464,0.3307153161480052,0.5687813374791798,0.8221264736026777
NAB1,-0.11378825876564808,5.780048334493727,0.4833080157792878,0.49134876514116077,0.7775949879921239
PSD2,-0.11393476272346355,-0.2833544617187382,0.03797807572542164,0.8465724498186148,0.9459284170697925
SOX5,-0.113948313918938,5.82926933133876,0.16116160708018834,0.6904399912668917,0.8812685995779465
CCT6A,-0.11396004353186565,5.8796889750122245,0.20227075471084519,0.6555650264770412,0.8670359225279618
MRPL28,-0.11407330655013372,3.550327103091471,0.18970474567603815,0.6657382493239881,0.8705929496978276
MPP1,-0.11420949733381926,4.8224607535147905,0.2682971360840827,0.6076151779799417,0.8424131987647864
KIF1B,-0.11422541892327666,7.424543102056686,0.4019500075008983,0.5300540386359527,0.7998685790864715
C6orf136,-0.11429547658420867,2.72812540856272,0.25182683018040775,0.6188181446820137,0.8494479750708146
ACSL5,-0.11435254244366537,7.114387878720403,0.08589527485037222,0.7711286480914687,0.9167489232037034
PTPN6,-0.11440963479221737,4.670864393602652,0.20136614707829006,0.6562844719024366,0.867293055308508
EIF2S3,-0.11457686806444446,6.992199725176567,0.16721446383862615,0.6849989481898253,0.8784642205688785
GPR176,-0.11464791608852644,2.122032403518284,0.062986684923124,0.8032496029362757,0.9304312594421386
TMEM26,-0.11473818432598672,2.1035917745762776,0.0511327949706482,0.8223705628489406,0.937201747340576
RRP36,-0.11481336056181984,4.064171125081445,0.23792299682959167,0.6286397843076981,0.8531817122227386
AP1S2,-0.11491601166150872,2.822205290891546,0.19188695979824974,0.6639431899298677,0.8701720320569759
